,title,genre_ids
9466,abovemajestic,99
8843,abovesuspicion,"53,80,28"
8996,abovetheshadows,"14,10749"
3637,abrahamlincolnvamp,"28,14,27"
1528,absenceof,18
3510,absolutelyanything,"35,878"
5380,absolutepower,"80,18,28"
230,absolution,"28,80,53,9648"
3054,abyss,"12,28,53,878"
3302,accidentalhusband,"35,10749"
8412,accidentman,"28,80,53"
6555,accidentmanhitmans,"28,35,80"
1976,accountant,"80,53,18"
7175,accursed,27
7224,accusation,18
9589,accused,"53,18"
2809,aceofaces,"12,35"
3808,aceventurajrpetdet,"35,10751,12,80"
914,aceventurapetdetec,"35,9648,80,12"
2389,aceventurawhennatu,"80,35,12"
2043,acid,"18,878,14"
8819,acrimony,"18,53"
9256,actionpoint,35
726,actofkindness,53
8917,actofvalor,"28,53,10752"
163,actor,"18,9648,53"
9730,actsofviolence,"28,80,53"
4976,adagio,"80,53,28"
4696,adamproject,"12,878"
9607,adamsandler100fres,"35,10402"
2881,adaptation,"35,80,18"
2984,addamsfamily,"10751,16,35,14"
3016,addamsfamily2,"16,10751,35,14,12"
3960,addamsfamilyreunio,"35,27,14,10751,10770"
1403,addamsfamilyvalues,"35,10751,14"
3259,addicted,"18,53"
1324,address,"18,28"
1470,adhirshtasaali,18
2274,adjustmentbureau,"878,53,10749"
5549,admission,"35,18,10749"
10318,adolescence,"18,80"
9161,adoptadaddy,35
8698,adoptahighway,18
9346,adore,18
9832,adrift,"53,10749,12"
8651,adu,18
1711,adultcontemporary,10749
2572,adulteen,35
7437,adultsintheroom,18
8652,advantagesoftravel,"18,53"
7084,adventcalendar,"27,53,18"
8204,adventurers,"28,80,12"
5928,adventuresofandrea,"10751,16,35"
9983,adventuresofichabo,"27,14,16,10751"
6035,adventuresofmiloan,"12,18,10751"
5907,adventuresofprince,"16,12,14,10749"
6348,adventuresofsharkb,"12,10751,878"
1939,adventuresoftintin,"12,16,9648"
2710,adversary,"9648,18,80"
1819,advitam,"53,18,80,28"
4597,aeonflux,"878,28,53"
8775,aeronauts,"12,18,10749"
354,aewrevolutionzeroh,"28,18"
1596,affairtodiefor,"53,27"
4648,afire,"18,10749,35"
1106,afraid,"27,878,53"
1742,after,"10749,18"
119,afterdeathdouspart,27
1364,afterearth,"878,28,12"
4781,aftereverhappy,"10749,18"
2062,aftereverything,"10749,18"
8260,afterlife,"14,18"
7356,afterlifeofthepart,"14,35,18"
7526,afterlove,18
336,aftermath,"28,53"
10029,aftermidnight,"35,10767"
1344,afternoonsofsolitu,99
9509,afterparty,"35,10402"
10090,afterschoolclub,
1227,aftersun,18
3494,afterthestorm,18
9163,afterthewedding,18
229,afterwards,"27,10749"
2304,afterwecollided,"10749,18"
2196,afterwefell,"10749,18"
6877,afteryang,"878,18"
6076,againstallodds,"80,18,10749,53"
6459,againsttheice,"18,12,36"
5184,agathaandthetrutho,"18,9648"
5664,agentcodybanks,"28,12,35,10751"
5914,agentcodybanks2des,"35,28,12,10751,10749"
4342,ageofadaline,"10749,14,18"
97,ageofdisclosure,99
5794,ageofinnocence,"18,10749"
5723,agesoflove,"10749,35,18"
3879,agesoflulu,18
270,ago,99
5642,agora,"12,18,36"
2090,aiartificialintell,"18,878,12"
